Entry;Country;Site_Name;Sample_Id;Biome 1;Biome 2;Region;Valley, locality, closest town, political jurisdiction;Latitude (WGS 84);Longitude (WGS 84);Altitude (masl);Exact_coordinates?;Site location_radius (km);Ref_coordinates;Archaeological_site_description;Archaeological_site_function;Archeological_Culture;Relative_chronology (Period/phase) ;Relative_date_from;Relative_date_to;Age_System_Relative;Absolute_chronology_method;Radiocarbon_Lab_Code;Conventional 14C_date (BP);Error (±1σ);Calibrated/modelled 14C (95%)_from;Calibrated/modelled 14C (95%)_to;Age_System_Absolute;Material_dated;Lab_Id;Type_source;Taxon/local name;Genus/Species;Phostosynthetic_Pathway;Plant_domesticate;Sample_type;wt%C;wt%N;C:N;δ13C;δ15N;δ34S;δ18O;87Sr/86Sr;Other_isotope_or analytical value;Description_ of_ other_isotope_or_analytical_value;Extra_information;Description_of_extra_information;Additional_info_source;Preservation_criteria ;Comments;Original_Reference;Original_Full_Reference;Compilation_Reference;Compilation_Full_Reference;Link_ to_source;Link_to_source_2;;;;;;;;;;;;;;;;;
1;Argentina;Puesto Viejo 2 (PV2) ;PV2, U1, RC, level 8;Montane grasslands and shrublands;Monte de Sierras y Bolsones;Northwest of Argentina;Quebrada de Los Corrales, El Infernillo, Tucumán;-26.75;-65.8065;3054;Approximate;1;Google Earth;;;;Late Holocene;423;576;BCE/CE;14C-AMS;UGAMS06597;1600;25;1850;1550;BP;;UGA06597;Terrestrial flora;Chañar;Geoffroea decorticans;C3;Managed;;;;;-28.4;;;;;;;;;;3;Carbon values come from Radiocarbon dates of edible plant macroremains.;Oliszewski et al. (2020) ;Oliszewski, N., Killian Galván, V., Srur, G., Olivera, D.E.,  & Martínez, J.G. (2020). Human paleodiet studies between ca. 3300–1500 years BP in Quebrada de Los Corrales (Tucumán, Argentina). Journal of Archaeological Science: Reports, 32, 102429.;;;https://doi.org/10.1016/j.jasrep.2020.102429;https://doi.org/10.1016/j.jasrep.2020.102429;;;;;;;;;;;;;;;;;
2;Argentina;Puesto Viejo 2 (PV2) ;PV2, U2, R1, level 5;Montane grasslands and shrublands;Monte de Sierras y Bolsones;Northwest of Argentina;Quebrada de Los Corrales, El Infernillo, Tucumán;-26.75;-65.8065;3054;Approximate;1;Google Earth;;;;Late Holocene;368;522;BCE/CE;14C-AMS;UGAMS22269;1670;20;1850;1550;BP;;UGA22269;Terrestrial flora;Algarrobo;Prosopis sp.;C3;Managed;;;;;-22.5;;;;;;;;;;3;Carbon values come from Radiocarbon dates of edible plant macroremains.;Oliszewski et al. (2020) ;Oliszewski, N., Killian Galván, V., Srur, G., Olivera, D.E.,  & Martínez, J.G. (2020). Human paleodiet studies between ca. 3300–1500 years BP in Quebrada de Los Corrales (Tucumán, Argentina). Journal of Archaeological Science: Reports, 32, 102429.;;;https://doi.org/10.1016/j.jasrep.2020.102429 ;https://doi.org/10.1016/j.jasrep.2020.102429 ;;;;;;;;;;;;;;;;;
3;Argentina;Puesto Viejo 2 (PV2) ;PV2, U2, R1 ,level 3;Montane grasslands and shrublands;Monte de Sierras y Bolsones;Northwest of Argentina;Quebrada de Los Corrales, El Infernillo, Tucumán;-26.75;-65.8065;3054;Approximate;1;Google Earth;;;;Late Holocene;257;417;BCE/CE;14C-AMS;UGAMS22270;1720;20;1850;1550;BP;;UGA22270;Terrestrial flora;Algarrobo;Prosopis sp.;C3;Managed;;;;;-24.0;;;;;;;;;;3;Carbon values come from Radiocarbon dates of edible plant macroremains.;Oliszewski et al. (2020) ;Oliszewski, N., Killian Galván, V., Srur, G., Olivera, D.E.,  & Martínez, J.G. (2020). Human paleodiet studies between ca. 3300–1500 years BP in Quebrada de Los Corrales (Tucumán, Argentina). Journal of Archaeological Science: Reports, 32, 102429.;;;https://doi.org/10.1016/j.jasrep.2020.102429;https://doi.org/10.1016/j.jasrep.2020.102429;;;;;;;;;;;;;;;;;
4;Argentina;Puesto Viejo 2 (PV2) ;PV2, U1, R4, level 5;Montane grasslands and shrublands;Monte de Sierras y Bolsones;Northwest of Argentina;Quebrada de Los Corrales, El Infernillo, Tucumán;-26.75;-65.8065;3054;Approximate;1;Google Earth;;;;Late Holocene;244;411;BCE/CE;14C-AMS;AA94581;1767;35;1850;1550;BP;;AA94581;Terrestrial flora;Chañar;Geoffroea decorticans;C3;Managed;;;;;-22.3;;;;;;;;;;3;Carbon values come from Radiocarbon dates of edible plant macroremains.;Oliszewski et al. (2020) ;Oliszewski, N., Killian Galván, V., Srur, G., Olivera, D.E.,  & Martínez, J.G. (2020). Human paleodiet studies between ca. 3300–1500 years BP in Quebrada de Los Corrales (Tucumán, Argentina). Journal of Archaeological Science: Reports, 32, 102429.;;;https://doi.org/10.1016/j.jasrep.2020.102429;https://doi.org/10.1016/j.jasrep.2020.102429;;;;;;;;;;;;;;;;;
5;Argentina;Cueva de Los Corrales 1;CC1, C3A, level 2 (3');Montane grasslands and shrublands;Monte de Sierras y Bolsones;Northwest of Argentina;Quebrada de Los Corrales, El Infiernillo pass, centre-west of Tucumán province;-26.727678;-65.796803;3026;Approximate;1;Google Earth;;;;Late Holocene;-1389;-1117;BCE/CE;14C-AMS;UGAMS22268;3040;30;3040;650;BP;;UGA22268;Terrestrial flora;Quinoa;Chenopodium quinoa;C3;Yes;;;;;-28.3;;;;;;;;;;3;Carbon values come from Radiocarbon dates of edible plant macroremains.;Oliszewski et al. (2020) ;Oliszewski, N., Killian Galván, V., Srur, G., Olivera, D.E.,  & Martínez, J.G. (2020). Human paleodiet studies between ca. 3300–1500 years BP in Quebrada de Los Corrales (Tucumán, Argentina). Journal of Archaeological Science: Reports, 32, 102429.;;;https://doi.org/10.1016/j.jasrep.2020.102429;https://doi.org/10.1016/j.jasrep.2020.102429;;;;;;;;;;;;;;;;;
6;Argentina;Animaná;AIE 27626;Montane grasslands and shrublands;Monte de Sierras y Bolsones;Northwest of Argentina; Animamá farm, Calchaquí Valley, Salta province;-25.9703;-65.9479;1611;Approximate;2;Google Earth;;;;Modern;;;;;;;;;;;;AIE 27626;Terrestrial flora;Quinoa;Chenopodium quinoa;C3;Yes;seed;;;21.9;-22.7;9.0;;;;;;;;;1;Carbon results were corrected for Suess Effect.;Gheggi & Williams (2013)  ;Gheggi, S., & Williams, V. (2013). New data on food consumption in pre-hispanic populations from Northwest Argentina (ca. 1000–1550 AD): the contribution of carbon and nitrogen isotopic composition of human bones. Journal of Anthropology, Article ID 258190. ;Oliszewski et al. (2020);Oliszewski, N., Killian Galván, V., Srur, G., Olivera, D.E.,  Martínez, J.G. (2020). Human paleodiet studies between ca. 3300–1500 years BP in Quebrada de Los Corrales (Tucumán, Argentina). Journal of Archaeological Science Reports, 32: 102429.; https://doi.org/10.1155/2013/258190; https://doi.org/10.1155/2013/258190;;;;;;;;;;;;;;;;;
7;Argentina;Animaná;AIE  27627;Montane grasslands and shrublands;Monte de Sierras y Bolsones;Northwest of Argentina; Animamá farm, Calchaquí Valley, Salta province;-25.9703;-65.9479;1611;Approximate;2;Google Earth;;;;Modern;;;;;;;;;;;;AIE 27627;Terrestrial flora;Gourd;Cucurbita ficifolia;C3;Yes;seed;;;11.4;-21.5;7.1;;;;;;;;;1;Carbon results were corrected for Suess Effect.;Gheggi & Williams (2013)  ;Gheggi, S., & Williams, V. (2013). New data on food consumption in pre-hispanic populations from Northwest Argentina (ca. 1000–1550 AD): the contribution of carbon and nitrogen isotopic composition of human bones. Journal of Anthropology, Article ID 258190. ;Oliszewski et al. (2020);Oliszewski, N., Killian Galván, V., Srur, G., Olivera, D.E.,  Martínez, J.G. (2020). Human paleodiet studies between ca. 3300–1500 years BP in Quebrada de Los Corrales (Tucumán, Argentina). Journal of Archaeological Science Reports, 32: 102429.; https://doi.org/10.1155/2013/258190; https://doi.org/10.1155/2013/258190;;;;;;;;;;;;;;;;;
8;Argentina;Animaná;AIE 27628;Montane grasslands and shrublands;Monte de Sierras y Bolsones;Northwest of Argentina; Animamá farm, Calchaquí Valley, Salta province;-25.9703;-65.9479;1611;Approximate;2;Google Earth;;;;Modern;;;;;;;;;;;;AIE 27628;Terrestrial flora;Squash ;Cucurbita sp.;C3;Yes;seed;;;16.7;-24.5;6.1;;;;;;;;;1;Carbon results were corrected for Suess Effect.;Gheggi & Williams (2013)  ;Gheggi, S., & Williams, V. (2013). New data on food consumption in pre-hispanic populations from Northwest Argentina (ca. 1000–1550 AD): the contribution of carbon and nitrogen isotopic composition of human bones. Journal of Anthropology, Article ID 258190. ;Oliszewski et al. (2020);Oliszewski, N., Killian Galván, V., Srur, G., Olivera, D.E.,  Martínez, J.G. (2020). Human paleodiet studies between ca. 3300–1500 years BP in Quebrada de Los Corrales (Tucumán, Argentina). Journal of Archaeological Science Reports, 32: 102429.; https://doi.org/10.1155/2013/258190; https://doi.org/10.1155/2013/258190;;;;;;;;;;;;;;;;;
9;Argentina;Animaná;AIE  27629;Montane grasslands and shrublands;Monte de Sierras y Bolsones;Northwest of Argentina; Animamá farm, Calchaquí Valley, Salta province;-25.9703;-65.9479;1611;Approximate;2;Google Earth;;;;Modern;;;;;;;;;;;;AIE 27629;Terrestrial flora;Sweet gourd;Cucurbita sp.;C3;Yes;seed;;;11.3;-26.0;8.2;;;;;;;;;1;Carbon results were corrected for Suess Effect.;Gheggi & Williams (2013)  ;Gheggi, S., & Williams, V. (2013). New data on food consumption in pre-hispanic populations from Northwest Argentina (ca. 1000–1550 AD): the contribution of carbon and nitrogen isotopic composition of human bones. Journal of Anthropology, Article ID 258190. ;Oliszewski et al. (2020);Oliszewski, N., Killian Galván, V., Srur, G., Olivera, D.E.,  Martínez, J.G. (2020). Human paleodiet studies between ca. 3300–1500 years BP in Quebrada de Los Corrales (Tucumán, Argentina). Journal of Archaeological Science Reports, 32: 102429.; https://doi.org/10.1155/2013/258190; https://doi.org/10.1155/2013/258190;;;;;;;;;;;;;;;;;
10;Argentina;Animaná;AIE  27630;Montane grasslands and shrublands;Monte de Sierras y Bolsones;Northwest of Argentina; Animamá farm, Calchaquí Valley, Salta province;-25.9703;-65.9479;1611;Approximate;2;Google Earth;;;;Modern;;;;;;;;;;;;AIE 27630;Terrestrial flora;Maize;Zea mays;C4;Yes;seed;;;44.9;-10.0;4.2;;;;;;;;;1;Carbon results were corrected for Suess Effect.;Gheggi & Williams (2013)  ;Gheggi, S., & Williams, V. (2013). New data on food consumption in pre-hispanic populations from Northwest Argentina (ca. 1000–1550 AD): the contribution of carbon and nitrogen isotopic composition of human bones. Journal of Anthropology, Article ID 258190. ;Oliszewski et al. (2020);Oliszewski, N., Killian Galván, V., Srur, G., Olivera, D.E.,  Martínez, J.G. (2020). Human paleodiet studies between ca. 3300–1500 years BP in Quebrada de Los Corrales (Tucumán, Argentina). Journal of Archaeological Science Reports, 32: 102429.; https://doi.org/10.1155/2013/258190; https://doi.org/10.1155/2013/258190;;;;;;;;;;;;;;;;;
