"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"W9KRC86Q","preprint","2018","Gambert, Iselin; Linné, Tobias","From Rice Eaters to Soy Boys: Race, Gender, and Tropes of ‘Plant Food Masculinity’","","","","10.2139/ssrn.3298467","https://papers.ssrn.com/abstract=3298467","Tropes of ‘effeminized’ masculinity have long been bound up with a plant-based diet, dating back to the ‘effeminate rice eater’ stereotype used to justify 19th-century colonialism in Asia to the altright’s use of the term ‘soy boy’ on Twitter and other social media today to call out men they perceive to be weak, effeminate, and politically correct (Gambert and Linné). This article explores tropes of ‘plant food masculinity’ throughout history, focusing on how while they have embodied different social, cultural, and political identities, they all serve as a tool to construct an archetypal masculine ideal. The analysis draws on a wide range of material from the 19th and 20th centuries, as well as a qualitative media analysis of #SoyBoy tweets posted between October 2010 and August 2018. It argues that, given that we live in a world steeped in ‘coloniality’ (Grosfoguel), it is no wonder that sexist and racist colonial-era tropes are alive and well today, packaged in a 21st-century digital culture form. In the digital politics of the alt-right, dairy milk has become a symbol for racial purity, connecting pseudo-scientific claims about milk, lactose tolerance, race, and masculinity. The term ‘soy boy’ provides a discursive counterpoint, relying heavily on colonial-era stereotypes of so-called ‘effeminate’ plant eating, often linked to Asian and other non-white cultures. The article concludes by arguing that for those working to reframe centuries-old norms and tropes related to race, sex, and humankind’s relationship to other animals, part of that work may take place online using the tools of social media and reappropriation of derogatory language. However, ultimately the power of social media to change norms and minds depends on the power of the social movements driving those changes; success is likely to only come through a robust anti-racist, color-conscious, and gender-conscious vegan movement (Harper).","2018-12-09","2023-02-17 17:07:01","2023-02-17 17:07:01","2023-02-17 17:07:01","","","","","","","From Rice Eaters to Soy Boys","","","","","","Rochester, NY","en","","SSRN Scholarly Paper","","","Social Science Research Network","","","","C:\Users\chris\Zotero\storage\K2J5YZCV\Gambert and Linné - 2018 - From Rice Eaters to Soy Boys Race, Gender, and Tr.pdf","","","altright; critical animal studies; cultural studies; dairy; food studies; gender; masculinity; media studies; milk; plant milk; racism; rhetoric; sexism; social media; soy; vegan","","","","","","","","","","","","","","","","","","","3298467","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"395RACAG","journalArticle","2020","Kellner, Corina M.; Compton-Gore, Katharin; Mayer, Aaron J.; Sayre, Matthew; Jennings, Justin; Álvarez, Willy Yépez","Comparing ritual foods and everyday diet from the Middle Horizon site of Tenahaha, Cotahuasi, Peru using stable isotope and macrobotanical analyses","Journal of Archaeological Science","","0305-4403","10.1016/j.jas.2020.105095","https://www.sciencedirect.com/science/article/pii/S0305440320300194","Prehistoric populations actively chose what foods were used in different social and political contexts. Ritual meals may have included special foods or different preparation in contrast with quotidian meals. In this study, we compare plant remains with isotope values from human remains to understand food practices at the site of Tenahaha in the Cotahuasi Valley of highland Peru (CE 850–1050). Built in a time of rapid social change, Tenahaha was a local mortuary center where people stayed for a few days to bury their dead and celebrate ancestors. Most food and drink appear to have been prepared and consumed communally, in contrast to the more private dining practices typical in villages of the era. C3 foods such as quinoa, tubers, and molle were ubiquitous at the site, suggesting a diet heavy in C3 foods. In comparison, stable isotope analysis of individuals buried at Tenahaha shows a diet dominated by C4 plants (maize) and animal products that may have been foddered on maize. A more maize-centric diet was common by the Middle Horizon in the central Andean sierra, replacing diets dominated by C3 foods. Although taphonomic and sampling concerns must be taken into account, the emphasis on C3 foods seen macrobotanically at Tenahaha may reflect a desire to consume more traditional foods while honoring the dead.","2020-03-01","2022-12-16 15:41:58","2022-12-16 15:41:58","2022-12-16 15:41:58","105095","","","115","","Journal of Archaeological Science","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\chris\Zotero\storage\2ZCZ6QZA\S0305440320300194.html","","","Cotahuasi; Macrobotanical; Middle horizon; Peru; Ritual and daily diet; Stable isotope; Tenahaha; Wari","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HE72F6Y2","webpage","","Adams, Jay","Where does your water come from?","Denver Water","","","","https://www.denverwater.org/tap/where-does-your-water-come","Denver Water, which provides water to 1.5 million people across the metro area, relies on a system that collects rain and snow from across 4,000 square miles of mountains and foothills west of Denver. “Every year it’s helpful to have a large and diverse water collection system, because you never know how much snow we’ll see in Colorado and where it will fall,” said Nathan Elder, water supply manager at Denver Water. On an average year, the utility captures 290,000 acre-feet of rain and snowmelt in its collection system. That’s roughly 94 billion gallons of water — or enough to fill up nearly 157 Empower Fields at Mile High. The water flows down rivers and streams, then through a network of tunnels, pipelines and canals to treatment facilities in the Front Range to be cleaned for delivery to homes and businesses. Because most of the water comes from mountain snowmelt in the spring, water is stored in mountain reservoirs until it is needed. Construction on the elaborate reservoir storage collection system began in the early 1900s when Cheesman Dam was built along the South Platte River southwest of Denver. Over the years, additional dams and tunnels were built to capture and store more water for Denver’s growing population. Having a large and diverse collection system was critical to Denver’s growth because the city lies in a semi-arid climate. Denver Water’s collection system is centered on the state’s mountains and foothills, because that’s where most of Colorado’s precipitation falls. About 80% of Colorado’s snow and rain falls west of the Continental Divide. “The builders of the Denver Water collection system had to look to the mountains to ensure a reliable supply of water. There simply wasn’t enough moisture in the city to sustain the growing population,” Elder said. Image In Colorado, roughly 80% of the precipitation falls on the west side of the Continental Divide compared to 20% on the east side. This is why Front Range communities bring water over from the West Slope. Image credit: Denver Water. Image Denver Water collects around 50% of its drinking water from tributaries of the Colorado River on the west side of the Continental Divide. The rest of the utility’s drinking water comes from the South Platte River Basin on the east side of the Continental Divide. Denver Water relies on roughly 2% of the water used in the state to support around 25% of Colorado’s population. Image credit: Denver Water.Having a large geographic area to capture water is critical because it provides redundancy in times of drought, emergencies, infrastructure maintenance and improvement projects, according to Elder. One example of the need for diverse sources of water occurred in 2020, when Denver Water had to close the Roberts Tunnel for maintenance. Closing the tunnel meant no water could be brought to customers from Dillon Reservoir in Summit County. Dillon is the largest reservoir in Denver Water’s system. The Roberts Tunnel brings water from Dillon under the Continental Divide to the Front Range. With water in Dillon Reservoir out of reach until the tunnel’s maintenance project was finished, Denver Water had to rely on water coming down the South Platte River and from streams in Grand County. Another of Denver Water’s important water-carrying tunnels, the Moffat Tunnel, will be closed for maintenance in 2021, which means Denver Water won’t be able to access to water from Grand County during that project. The Moffat Tunnel carries water, collected from 36 Grand County streams, and funnels it under the Continental Divide to be stored in Gross Reservoir before going to treatment plants in the metro area. In times of drought, if the South Platte River Basin is experiencing dry conditions but collection areas on the West Slope are experiencing normal or above average precipitation, Denver Water is able to draw water from rivers and streams on the west side of the Continental Divide. Wildfires are another big concern for the utility. Eighty percent of Denver Water’s supply passes through Strontia Springs Reservoir, an area prone to wildfires like the 1996 Buffalo Creek and 2002 Hayman fires that impacted the reservoir and operations. These factors are among the reasons Denver Water is planning to expand Gross Reservoir. Denver Water’s storage capacity is imbalanced, with 90% of its storage capacity located in its South System and the remaining 10% located in its North System. The increased storage in Gross Reservoir would allow more water to be stored in Denver Water’s North Collection system provide additional redundancy in the utility’s ability to have a reliable water supply for customers. “Denver Water’s founders were not afraid to think big,” Elder said. “The foresight they had in the past greatly benefits Denver and the metro area now and will continue to help in the future.” The following maps break down the collection system and service area. Image Denver Water’s collection area covers 4,000 square miles on both sides of the Continental Divide. On average, the utility captures around 290,000 acre-feet of water from rain and melting snow every year — that’s over 94 billion gallons. Image credit: Denver Water. Image Denver Water stores water in 12 major reservoirs on both sides of the Continental Divide. Williams Fork and Wolford Mountain reservoirs are not used to store drinking water. Water collected and stored in those two reservoirs in the Colorado River Basin is released when needed to offset water that is diverted to the Front Range. Denver Water does not own Chatfield Reservoir, but stores water in it as part of an agreement with the U.S. Army Corps of Engineers. Image credit: Denver Water. Image Denver Water’s drinking water collection area contains eight river basins. The majority of the water supply comes from the Blue, Fraser and South Platte river basins. Having multiple basins creates a large area to collect water. The large collection area is critical in having a reliable water supply because some river basins see more precipitation than others. Image credit: Denver Water. Image Denver Water has two geographic areas where it collects water for its customers. The North System covers parts of Boulder, Clear Creek, Gilpin, Grand and Jefferson counties. The South System covers parts of Douglas, Jefferson, Park, Summit and Teller counties. Eighty percent of Denver Water’s supply comes from the South System while 20% comes from the North System. Image credit: Denver Water. Image Denver Water’s North System spans parts of Boulder, Gilpin, Jefferson and Grand counties. Water collected from 36 streams in Grand County on the West Slope travels through the Moffat Tunnel under the Continental Divide. Water flows down South Boulder Creek and is either stored in Gross Reservoir or sent through a canal down to Ralston Reservoir and on to a Denver Water treatment plant. Image credit: Denver Water. Image Denver Water’s South System captures water from the Blue and South Platte river basins. The Blue River is a tributary of the Colorado River on the West Slope of the state. Denver Water has rights to some of the water in the Blue River basin and stores it in Dillon Reservoir. From the reservoir, water can be delivered to the Front Range through the Roberts Tunnel under the Continental Divide. Water from the South Platte River is stored in a series of reservoirs running through Park, Douglas and Jefferson counties. Image credit: Denver Water. Image Denver Water has a water storage imbalance between its two collection systems with 90% of the reservoir storage in the South System compared to 10% in the North System. This storage imbalance creates vulnerability if there is a drought, mechanical issue or emergency that affects the South System. The storage imbalance is one of the reasons Denver Water is planning the Gross Reservoir Expansion Project. Image credit: Denver Water. Image Denver Water provides water to more than 1.5 million people who live in the city and county of Denver and several suburbs. The utility serves water to around 25% of Colorado’s population with roughly 2% of the water used in the state. The service area will not expand as part of the 2013 Colorado River Cooperative Agreement. Image credit: Denver Water.","","2023-03-17 00:24:34","2023-03-17 00:24:34","2023-03-17 00:24:34","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\chris\Zotero\storage\UHSKD5DZ\where-does-your-water-come.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GDYW5XN7","bookSection","2022","Stantis, Chris; Kendall, Ellen J","Isotopes in Paleopathology","The Routledge Handbook of Paleopathology","","","","","","2022","2023-03-15 19:02:30","2023-03-15 19:02:30","","118–135","","","","","","","","","","","Routledge","","","All rights reserved","","","","","","","","C:\Users\chris\Zotero\storage\XRUPUBEN\Chapter 7 Isotopes in Paleopath.pdf","","Introductory Isotopes; Weaning and Infant Feeding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M6K3VPC9","journalArticle","2022","Stantis, Chris; Maaranen, Nina; Kharobi, Arwa; Nowell, Geoff M; Macpherson, Colin; Doumet-Serhal, Claude; Schutkowski, Holger","Sidon on the breadth of the wild sea: Movement and diet on the Mediterranean coast in the Middle Bronze Age","American Journal of Biological Anthropology","","","","","","2022","2023-03-15 19:02:30","2023-03-15 19:02:30","","116–133","","1","177","","","","","","","","","","","All rights reserved","","","","","","Publisher: John Wiley & Sons, Inc. Hoboken, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9WL9S4ZX","journalArticle","2021","Kharobi, Arwa; Stantis, Chris; Maaranen, Nina; Schutkowski, Holger","Once were warriors: Challenging occupation preconceptions in Lebanese weapon-associated burials (Middle Bronze Age, Sidon)","International Journal of Osteoarchaeology","","","","","","2021","2023-03-15 19:02:30","2023-03-15 19:02:30","","1155–1168","","6","31","","","","","","","","","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X538ACTY","journalArticle","2021","Stantis, Chris; Buckley, Hallie R; Commendador, Amy; Dudgeon, John V","Expanding on incremental dentin methodology to investigate childhood and infant feeding practices on Taumako (southeast Solomon Islands)","Journal of Archaeological Science","","","","","","2021","2023-03-15 19:02:30","2023-03-15 19:02:30","","105294","","","126","","","","","","","","","","","All rights reserved","","","","","","Publisher: Academic Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QX3LAU5K","journalArticle","2020","Stantis, Chris; Kharobi, Arwa; Maaranen, Nina; Nowell, Geoff M; Bietak, Manfred; Prell, Silvia; Schutkowski, Holger","Who were the Hyksos? Challenging traditional narratives using strontium isotope (87Sr/86Sr) analysis of human remains from ancient Egypt","Plos one","","","","","","2020","2023-03-15 19:02:30","2023-03-15 19:02:30","","e0235414","","7","15","","","","","","","","","","","All rights reserved","","","","","","Publisher: Public Library of Science San Francisco, CA USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWMCFZBP","journalArticle","2021","Buckley, Hallie R; Petchey, Peter; Ritchie, Neville; Kinaston, Rebecca L; King, Charlotte; Geber, Jonny; Matisoo-Smith, Elizabeth; Snoddy, Anne Marie; Stantis, Chris; Kendall, Ellen; others","‘Buried with his boots on’–An integrated life course case-study of a liminal burial from the New Zealand goldrushes","Journal of Pacific Archaeology–Vol","","","","","","2021","2023-03-15 19:02:30","2023-03-15 19:02:30","","","","2","12","","","","","","","","","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ALP432E","journalArticle","2021","Maaranen, Nina; Zakrzewski, Sonia; Kharobi, Arwa; Stantis, Christina; Prell, Silvia; Bietak, Manfred; Schutkowski, Holger","The people of Avaris: Intra-regional biodistance analysis using dental non-metric traits","Bioarchaeology of the Near East","","","","","","2021","2023-03-15 19:02:30","2023-03-15 19:02:30","","1–24","","","15","","","","","","","","","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
