,Original_Full_Reference,,,,,,,,,,,,,,,
15,"Alconini, S., Blom, D., & Coleman, D. (2019). Paleomobilidad y origen, estudios de estroncio radiogénico. In: S. Alconini (Ed.) El Cementerio Prehispánico de Incahuasi: Una mirada desde la vertiente Oriental de los Andes del Sur Santa Cruz de la Sierra, Bolivia (pp.347-382). Santa Cruz de la Sierra: Grupo Editorial La Hoguera.",,,,,,,,,,,,,,,
149,"Andrushko, V.A., Buzon, M.R., Gibaja, A.M., McEwan, G.F., Simonetti, A., & Creaser, R.A. (2011). Investigating a child sacrifice event from the Inca heartland. Journal of Archaeological Science, 38(2), 323-333.",,,,,,,,,,,,,,,
148,"Andrushko, V.A., Buzon, M.R., Simonetti, A., & Creaser, R.A. (2009). Strontium isotope evidence for prehistoric migration at Chokepukio, Valley of Cuzco, Peru. Latin American Antiquity, 20, 57–75.",,,,,,,,,,,,,,,
68,"Aufderheide, A.C., & Santoro, C. (1999). Chemical Paleodietary Reconstruction: Human populations at late prehistoric sites in the Lluta Valley of northern Chile. Revista Chilena de Historia Natural, 72, 237-250.",,,,,,,,,,,,,,,
67,"Aufderheide, A.C., Muñoz, I., & Arriaza, B. (1993). Seven Chinchorro mummies and the prehistory of Northern Chile. American Journal of Physical Anthropology, 91, 189–201.",,,,,,,,,,,,,,,
2,"Barberena, R., Durán, V.A., Novellino, P., Winocur, D., Benítez, A., Tessone, A., Quiroga, M.N., Marsh, E.J., Gasco, A., & Cortegoso, V. (2017). Scale of human mobility in the southern Andes (Argentina and Chile): a new framework based on strontium isotopes. American Journal of Physical Anthropology, 164:305–320.",,,,,,,,,,,,,,,
3,"Barberena, R., Menéndez, L., Le Roux, P. J., Marsh, E. J., Tessone, A., Novellino, P., ... & Cortegoso, V. (2020). Multi-isotopic and morphometric evidence for the migration of farmers leading up to the Inka conquest of the southern Andes. Scientific reports, 10(1), 1-12.",,,,,,,,,,,,,,,
20,"Bastos, M.Q.R. (2014). Dos sambaquis do sul do brasil à diáspora africana: Estudos de geoquímica isotópica de séries esqueléticas humanas escavadas de sítios arqueológicos brasileiros. Doctoral Dissertation. Universidade de Brasília.",,,,,,,,,,,,,,,
64,"Bastos, M.Q.R., Santos, R.V., de Souza, S.M., Rodrigues-Carvalho, C., Tykot, R.H., Cook, D.C., & Santos, R.V. (2016). Isotopic study of geographic origins and diet of enslaved Africans buried in two Bbrazilian cemeteries. Journal of Archaeological Science, 70, 82–90. doi:10.1016/j.jas.2016.04.020.",,,,,,,,,,,,,,,
21,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.028",,,,,,,,,,,,,,,
22,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.029",,,,,,,,,,,,,,,
23,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.030",,,,,,,,,,,,,,,
24,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.031",,,,,,,,,,,,,,,
25,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.032",,,,,,,,,,,,,,,
26,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.033",,,,,,,,,,,,,,,
27,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.034",,,,,,,,,,,,,,,
28,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.035",,,,,,,,,,,,,,,
29,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.036",,,,,,,,,,,,,,,
30,"Bastos, M.Q.R., Santos, R.V., Tykot, R.H., Mendonça de Souza, S.M.F., Rodrigues-Carvalho, C., & Lessa, A. (2015). Isotopic evidences regarding migration at the archeological site of Praia da Tapera: New data to an old matter. Journal of Archaeological Science: Reports, 4, 588–595. https://doi.org/10.1016/j.jasrep.2015.10.037",,,,,,,,,,,,,,,
