"","related_publication_id"
"1","https://doi.org/10.1590/S0100-40422008000700040"
"2","https://doi.org/10.1016/j.gca.2003.09.021."
"3","https://doi.org/10.1016/S0016-7037(03)00203-5"
"4","https://doi.org/10.1016/S0009-2541(99)00246-6"
"5","https://doi.org/10.1016/j.apgeochem.2022.105405"
"6","10.1007/s10653-015-9757-1"
"7","https://doi.org/10.1016/j.scitotenv.2022.157982"
"8","https://doi.org/10.1007/s12583-016-0637-0"
"9","https://doi.org/10.1016/j.envres.2022.113330"
"10","https://doi.org/10.1016/j.scitotenv.2021.148156"
"11","https://doi.org/10.1016/j.gca.2010.11.014"
"12","https://doi.org/10.1016/j.apgeochem.2006.03.005"
"13","https://doi.org/10.1016/j.jasrep.2017.12.016"
"14",""
"15","https://doi.org/10.1016/S0009-2541(99)00247-8"
"16","https://doi.org/10.3389/frwa.2022.846438"
"17","https://doi.org/10.1016/S0016-7037(03)00029-2"
"18","https://doi.org/10.1016/j.jhydrol.2004.10.015"
"19","http://dx.doi.org/10.1007/s10040-009-0480-9"
"20","https://doi.org/10.1016/j.jhydrol.2008.12.020"
"21","https://doi.org/10.1016/j.gca.2004.11.019"
"22","doi:10.6048/j.issn.1001-4330.2017.06.013"
"23","https://doi.org/10.1016/j.jhydrol.2006.01.006"
"24","https://doi.org/10.1086/320793"
"25","https://doi.org/10.1016/S0016-7037(02)01207-3"
"26","https://doi.org/10.1016/S0031-0182(03)00282-7"
"27","https://doi.org/10.1016/j.apgeochem.2007.03.030"
"28","https://doi.org/10.1016/0009-2541(94)90017-5"
"29","https://doi.org/10.1016/j.chemer.2015.07.003"
"30","https://doi.org/10.1139/cjfas-2016-0153"
"31","https://doi.org/10.1016/0168-9622(87)90045-5"
"32","https://doi.org/10.1016/S0016-7037(98)00107-0"
"33","https://doi.org/10.1016/j.jhydrol.2008.07.030"
"34","https://doi.org/10.1371/journal.pone.0104071"
"35","https://doi.org/10.1002/hyp.5973"
"36","https://doi.org/10.1890/ES12-00122.1"
"37","https://doi.org/10.1016/j.apgeochem.2022.105214"
"38","https://doi.org/10.1016/S0016-7037(98)00127-6"
"39","https://doi.org/10.1029/2005GC001081"
"40","https://doi.org/10.1016/0012-821X(92)90087-C"
"41","https://doi.org/10.1016/j.apgeochem.2017.03.014"
"42","https://doi.org/10.1016/j.quaint.2013.05.033"
"43","https://doi.org/10.1029/WR012i005p01061"
"44","https://doi.org/10.1016/j.scitotenv.2016.01.036"
"45","doi:10.1017/S1045663500002510."
"46","https://doi.org/10.1016/0016-7037(96)00142-1"
"47","https://doi.org/10.1007/s12665-016-5910-0"
"48","https://doi.org/10.1016/0016-7037(95)00445-9"
"49","https://doi.org/10.1016/j.gca.2015.06.006"
"50","https://doi.org/10.1016/j.chemgeo.2006.05.009"
"51","http://dx.doi.org/10.1016/j.apgeochem.2010.12.006"
"52","https://doi.org/10.1016/j.gca.2009.01.005"
"53","https://doi.org/10.1016/j.gca.2005.07.001"
"54","https://doi.org/10.1016/j.scitotenv.2016.05.124"
"55","https://doi.org/10.1016/j.gca.2006.12.004"
"56","https://doi.org/10.1016/j.jseaes.2012.07.005"
"57","https://doi.org/10.1016/j.scitotenv.2021.145181"
"58","https://doi.org/10.1002/ajpa.23932"
"59","https://doi.org/10.1016/j.chemgeo.2009.09.013"
"60","https://doi.org/10.1016/S0016-7037(02)01053-0"
"61","https://doi.org/10.1023/A:1006390707989"
"62","https://doi.org/10.1016/j.apgeochem.2013.05.013"
"63","https://doi.org/10.1016/0012-821X(89)90017-4"
"64","https://doi.org/10.1016/j.jasrep.2017.10.023"
"65","https://doi.org/10.3389/fevo.2020.579473"
"66","https://doi.org/10.1016/j.chemgeo.2014.09.007"
"67","https://doi.org/10.1007/s11430-009-0084-1"
"68","10.1021/es901502t"
"69","https://doi.org/10.1016/j.jseaes.2009.12.016"
"70","https://doi.org/10.1016/j.epsl.2007.07.019"
"71","https://doi.org/10.1016/0016-7037(76)90025-9"
"72","https://doi.org/10.1016/j.chemgeo.2006.12.008"
"73","https://doi.org/10.1016/S0016-7037(05)80014-6"
"74","https://doi.org/10.1029/2001WR000370"
"75","https://doi.org/10.1016/j.chemgeo.2008.12.013"
"76","https://doi.org/10.1007/BF00879760"
"77","https://doi.org/10.1016/S0016-7037(99)00099-X"
"78","https://doi.org/10.1016/S0009-2541(97)00132-0"
"79","https://doi.org/10.5194/hess-18-559-2014"
"80","https://doi.org/10.1016/j.apgeochem.2011.03.066"
"81","https://doi.org/10.1016/j.jhydrol.2004.08.031"
"82","https://doi.org/10.1016/S0009-2541(00)00226-6"
"83","https://doi.org/10.1016/0016-7037(95)00128-M"
"84","https://doi.org/10.1016/j.chemgeo.2018.09.001"
"85","https://doi.org/10.1016/j.chemgeo.2014.09.008"
"86","https://doi.org/10.1139/f04-167"
"87","https://doi.org/10.1371/journal.pone.0123156"
"88","https://doi.org/10.1016/S0016-7037(99)00045-9"
"89","https://doi.org/10.1371/journal.pone.0173079"
"90","https://doi.org/10.1016/j.chemosphere.2007.04.031"
"91","10.1007/s12665-009-0145-y"
"92","https://doi.org/10.1016/j.chemgeo.2023.121877"
"93","https://doi.org/10.1016/S0012-821X(01)00317-X"
"94","https://doi.org/10.1016/j.apgeochem.2009.07.006"
"95","10.1007/s10498-011-9132-5"
"96","doi: 10.1111/j.1475-4754.2011.00644.x"
"97","https://doi.org/10.1016/j.geomorph.2011.02.028"
"98","https://doi.org/10.1016/j.chemgeo.2007.09.011"
"99","https://doi.org/10.1016/j.chemgeo.2003.07.001"
"100","https://doi.org/10.1029/1998WR900103"
"101","doi:10.1371/journal.pone.0137456"
"102","https://doi.org/10.1016/0016-7037(85)90143-7"
"103","https://doi.org/10.1016/0012-821X(86)90138-X"
"104","https://doi.org/10.1016/j.chemgeo.2002.05.002"
"105","https://doi.org/10.1016/j.apgeochem.2007.02.009"
"106","https://doi.org/10.1016/j.jhydrol.2018.10.070"
"107","https://doi.org/10.1016/S0009-2541(96)00168-4"
"108","https://doi.org/10.1007/s10498-009-9063-6"
"109","https://doi.org/10.1016/j.gca.2007.08.004"
"110","10.1051/forest/2009036"
"111","https://doi.org/10.7717/peerj.13223"
"112","https://doi.org/10.1016/j.chemgeo.2011.04.012"
"113","https://doi.org/10.3406/sgeol.1996.1937"
"114","https://doi.org/10.1016/S0009-2541(98)00028-X"
"115","https://doi.org/10.1016/0012-821X(93)90023-3"
"116","https://doi.org/10.1016/S0009-2541(97)00074-0"
"117","https://doi.org/10.1016/S0012-821X(01)00599-4"
"118","https://doi.org/10.1016/S0022-1694(00)00308-5"
"119","https://doi.org/10.1016/0012-821X(94)00062-X"
"120","https://doi.org/10.1126/science.219.4582.289"
"121","https://doi.org/10.1016/j.apgeochem.2005.04.015"
"122","https://doi.org/10.1016/S0009-2541(00)00298-9"
"123","https://doi.org/10.1016/0009-2541(96)00028-9"
"124","https://doi.org/10.1016/S0016-7037(99)00081-2"
"125","https://doi.org/10.1016/j.chemgeo.2003.09.009"
"126","https://doi.org/10.1016/j.gca.2008.06.013"
"127","https://doi.org/10.1016/j.gca.2013.09.006"
"128","https://doi.org/10.1016/j.gca.2012.09.054"
"129","https://doi.org/10.1016/j.chemgeo.2012.10.045"
"130","https://doi.org/10.1130/0091-7613(2000)028%3C1015:FOCSLB%3E2.3.CO;2"
"131","https://doi.org/10.1007/s12520-011-0087-7"
"132","https://doi.org/10.1016/j.apgeochem.2006.07.002"
"133","https://doi.org/10.1016/0009-2541(87)90151-3"
"134","https://doi.org/10.1016/j.jhydrol.2008.12.026"
"135","https://doi.org/10.1016/j.apgeochem.2010.12.006"
"136","https://doi.org/10.1002/hyp.10131"
"137","https://doi.org/10.1016/j.apgeochem.2022.105473"
"138","https://doi.org/10.1016/0009-2541(94)00088-P"
"139","https://doi.org/10.1016/j.jas.2008.07.009"
"140","https://doi.org/10.1016/j.chemgeo.2014.08.018"
"141","https://doi.org/10.1016/j.jmarsys.2007.09.013"
"142","10.1002/gea.21881"
"143","https://doi.org/10.1016/j.jas.2020.105198"
"144","https://doi.org/10.1016/j.jaa.2006.01.002"
"145","https://doi.org/10.1016/j.jasrep.2018.06.020"
"146","https://doi.org/10.1371/journal.pone.0250279"
"147","10.3969/j.issn.1001-7410.2011.01.04"
"148","https://doi.org/10.1016/j.scitotenv.2019.136248"
"149","https://doi.org/10.1080/14614103.2021.1921675"
"150","10.1520/jfs14829j"
"151","https://doi.org/10.1111/1755-6724.12658"
"152","https://doi.org/10.1016/j.chemgeo.2022.121000"
"153","https://doi.org/10.1007/s12520-017-0589-z"
"154","DOI: 10.16359/j.cnki.cn11-1963/q.2016.0019"
"155","https://doi.org/10.1017/S0068245415000064"
"156","https://doi.org/10.1016/j.earscirev.2020.103353"
"157","https://doi.org/10.1016/j.palaeo.2020.109849"
"158","https://doi.org/10.1016/j.scitotenv.2019.134714"
"159","https://doi.org/10.1371/journal.pone.0193796"
"160","https://doi.org/10.1007/s12520-021-01344-x"
"161","https://doi.org/10.3390/w13213137"
"162","https://doi.org/10.1016/j.jas.2008.12.010"
"163","https://doi.org/10.1016/j.apgeochem.2022.105405."
"164","10.1016/j.jas.2009.10.027"
"165","https://doi.org/10.1017/qua.2019.54"
"166","https://doi.org/10.1016/j.chemgeo.2011.01.011"
"167","https://doi.org/10.1016/j.jas.2013.09.014"
"168","https://doi.org/10.1007/s10933-009-9353-4"
"169","https://doi.org/10.1007/s00442-007-0779-y"
"170","http://dx.doi.org/10.1016/j.jas.2012.08.024"
"171","https://doi.org/10.1016/j.jasrep.2022.103339"
"172","https://doi.org/10.1016/j.scitotenv.2021.151352"
"173","http://dx.doi.org/10.1007/s10040-016-1390-2"
"174","https://doi.org/10.1007/s12520-019-00956-8"
"175","https://doi.org/10.1144/jgs2018-074"
"176","10.1038/srep35162"
"177","https://doi.org/10.1126/sciadv.ado3529"
"178","https://doi.org/10.5194/essd-15-1655-2023"
"179","https://doi.org/10.1016/j.jasrep.2020.102412"
"180","https://doi.org/10.1007/s12303-020-0035-6"
"181","10.1080/15564894.2013.787565"
"182","https://doi.org/10.1038/362438a0"
"183","https://doi.org/10.5194/essd-12-3641-2020"
"184","https://doi.org/10.1016/j.quaint.2013.02.008"
"185","https://doi.org/10.1007/978-3-031-25722-3_4"
"186","https://doi.org/10.1016/j.jasrep.2016.05.052"
"187","https://doi.org/10.1002/gea.21728"
"188","10.4319/lo.2008.53.4.1633"
"189","https://doi.org/10.1002/ajpa.22235"
"190","https://doi.org/10.7554/eLife.60860"
"191","https://doi.org/10.1111/j.1365-2389.2006.00840.x"
"192","https://doi.org/10.1073/pnas.211305498"
"193","https://doi.org/10.1016/j.jas.2013.05.003"
"194","https://doi.org/10.1007/s12520-021-01348-7"
"195","https://doi.org/10.1016/j.chemgeo.2009.09.003"
"196","https://doi.org/10.1657/1523-0430(2007)39[84:GOSASO]2.0.CO;2"
"197","https://doi.org/10.1371/journal.pone.0110793"
"198","https://doi.org/10.1016/j.jhevol.2011.03.004"
"199","https://doi.org/10.1038/s41598-022-12880-4"
"200","10.1657/1523-0430(2007)39[84:GOSASO]2.0.CO;2"
"201","https://doi.org/10.1371/journal.pone.0280589"
"202","https://doi.org/10.1016/j.chemgeo.2022.120832"
"203","https://doi.org/10.1016/j.jasrep.2022.103816"
"204","https://doi.org/10.1016/j.scitotenv.2021.145792"
"205","https://doi.org/10.1038/s42003-024-06233-2"
"206","https://doi.org/10.1163/21915784-20210008"
"207","https://doi.org/10.1002/ajpa.24742"
"208","https://doi.org/10.1016/j.palaeo.2017.10.008"
"209","http://dx.doi.org/10.1007/s12520-011-0065-0"
"210","https://doi.org/10.1371/journal.pone.0146176"
"211","https://doi.org/10.1371/journal.pone.0300867"
"212","https://doi.org/10.1016/j.epsl.2021.116880"
"213","https://doi.org/10.1080/14614103.2019.1689894"
"214","https://doi.org/10.1016/j.apgeochem.2018.12.020"
"215","https://doi.org/10.1111/bor.12091"
"216","https://doi.org/10.1890/03-0766"
"217","https://doi.org/10.1371/journal.pone.0204649"
"218","https://doi.org/10.1111/arcm.12049"
"219","https://doi.org/10.1016/j.jasrep.2017.11.009"
"220","https://doi.org/10.1016/j.jasrep.2021.103334"
"221","https://doi.org/10.1016/j.jaa.2012.07.002"
"222","https://doi.org/10.1016/j.jas.2006.10.014"
"223","https://doi.org/10.1144/0016-76492009-090"
"224","doi: https://doi.org/10.1144/0016-76492009-090"
"225","https://doi.org/10.1111/j.1475-4754.2008.00396.x"
"226","https://doi.org/10.1371/journal.pone.0287787"
"227","https://doi.org/10.1002/gea.21545"
"228","https://doi.org/10.1016/j.scijus.2023.12.006"
"229","https://doi.org/10.1111/j.1475-4754.2004.00140.x"
"230","https://doi.org/10.1016/j.jasrep.2016.01.015"
"231","https://doi.org/10.1016/j.jas.2012.02.002"
"232","https://doi.org/10.1002/ajpa.21104"
"233","https://doi.org/10.1038/s41559-019-0900-8"
"234","https://doi.org/10.1016/j.quascirev.2022.107387"
"235","https://doi.org/10.1016/j.apgeochem.2014.08.004"
"236","https://doi.org/10.1016/j.gloplacha.2019.103080"
"237","https://doi.org/10.1016/j.jasrep.2022.103606"
"238","https://doi.org/10.1002/rcm.3521"
"239","https://doi.org/10.1016/j.jas.2013.01.020"
"240","https://doi.org/10.1006/jasc.1994.1031"
"241","https://doi.org/10.1007/s00442-010-1731-0"
"242","https://doi.org/10.1038/s41598-020-79675-3"
"243","https://doi.org/10.3389/feart.2021.699460"
"244","https://doi.org/10.1016/0305-4403(91)90074-Y"
"245","https://doi.org/10.1016/j.gca.2018.07.036"
"246","https://doi.org/10.1073/pnas.1713880115"
