"","related_publication_id","related_publication_citation"
"1","https://doi.org/10.3389/frwa.2022.846438","Acharya, Shiba et al. ""Natural Sources and Anthropogenic Influences on the River Water and Groundwater Chemistry of the Lower Mahanadi Basin: Insights From Radiogenic Sr Isotopes and Major Ion Chemistry."" Frontiers in Water 4 (2022): 846438."
"2","https://doi.org/10.1002/gea.21728","Adams, S, Grun, R, McGahan, D, et al. A strontium isoscape of north?east Australia for human provenance and repatriation. Geoarchaeology. 2019; 34: 231? 251. https://doi.org/10.1002/gea.21728"
"3","https://doi.org/10.1021/acs.jafc.9b01082","Aguzzoni A, et al. 2019. Intra- and Intertree variability of the 87Sr/86Sr ratio in apple orchards and its correlation with the soil 87Sr/86Sr ratio. Journal of Agricultural and Food Chemistry 67: 5728-5735."
"4","10.1002/jsfa.10399","Aguzzoni A, et al. 2020. Sr isotope composition of Golden Delicious apples in Northern Italy reflects the soil 87Sr/86Sr ratio of the cultivation area. Journal of the Science of Food and Agriculture 100: 3666-3674."
"5","https://doi.org/10.1016/j.jasrep.2021.102902","Ahlström, T., Price, T.D., 2021. Mobile or stationary? An analysis of strontium and carbon isotopes from Västerbjers, Gotland, Sweden. J. Archaeol. Sci. Rep. 36, 102902."
"6","http://dx.doi.org/10.1086/430243","AI Pasquini, PJ Depetris, DM Gaiero, J-L Probst, 2005, Material sources, chemical weathering, and physical denudation in the Chubut River basin (Patagonia, Argentina): Implications from Andean rivers, J. Geol. 113, 451-469."
"7","http://dx.doi.org/10.1007/s12520-011-0065-0","Al-Shorman A, El-Khouri L. 2011. Strontium isotope analysis of human tooth enamel from Barsinia: a late antiquity site in Northern Jordan. Archaeological and Anthropological Sciences 3: 263–269."
"8","https://doi.org/10.1016/0009-2541(87)90151-3","Albarède, F. and Michard, A., 1987. Evidence for slowly changing 87Sr86Sr in runoff from freshwater limestones of southern France. Chemical Geology, 64(1-2), pp.55-65."
"9","https://doi.org/10.1016/0009-2541(96)00028-9","Allègre, C.J., Dupré, B., Négrel, P. and Gaillardet, J., 1996. Sr-Nd-Pb isotope systematics in Amazon and Congo River systems: Constraints about erosion processes"
"10","https://doi.org/10.1016/j.jasrep.2020.102462","Alonzi, E., et al., 2020. New understandings of the sea spray effect and its impact on bioavailable radiogenic strontium isotope ratios in coastal environments. Journal of Archaeological Science: Reports, 33, p.102462."
"11","https://doi.org/10.1371/journal.pone.0146176","Alt KW, et al. 2016. A community in life and death: The Late Neolithic Megalithic tomb at Alto de Reinoso (Burgos, Spain). PLoS ONE 11: e0146176."
"12","https://doi.org/10.1371/journal.pone.0110793","Alt KW, Knipper C, Peters D, Muller W, Maurer A-F, Kollig I, et al. (2014) Lombards on the Move – An Integrative Study of the Migration Period Cemetery at Szólád, Hungary. PLoS ONE 9(11): e110793."
"13","https://doi.org/10.1016/0012-821X(94)00062-X","Andersson, P.S., Wasserburg, G.J., Ingri, J. and Stordal, M.C., 1994. Strontium, dissolved and particulate loads in fresh and brackish waters: the Baltic Sea and Mississippi Delta. Earth and Planetary Science Letters, 124(1-4), pp.195-210."
"14","doi:10.1016/j.jas.2010.09.009","Andrushko, V.A., Buzon, M.R., Gibaja, A.M., McEwan, G.F., Simonetti, A., & Creaser, R.A. (2011). Investigating a child sacrifice event from the Inca heartland. Journal of Archaeological Science, 38(2), 323-333."
"15","doi:10.1017/S1045663500002510.","Andrushko, Valerie A., et al. ""Strontium Isotope Evidence for Prehistoric Migration at Chokepukio, Valley of Cuzco, Peru."" Latin American Antiquity, vol. 20, no. 1, 2009, pp. 57–75."
"16","doi:10.1017/S1045663500002510.","Andrushko, Valerie A., et al. ""Strontium Isotope Evidence for Prehistoric Migration at Chokepukio, Valley of Cuzco, Peru."" Latin American Antiquity, vol. 20, no. 1, 2009, pp. 57–75., doi:10.1017/S1045663500002510."
"17","https://doi.org/10.1371/journal.pone.0300867","Armaroli E, Lugli F, Cipriani A, Tutken T (2024) Spatial ecology of moose in Sweden: Combined Sr-O-C isotope analyses of bone and antler. PLoS ONE 19(4): e0300867. https://doi.org/10.1371/journal.pone.0300867"
"18","","Armstrong KF, Holder PW, Murphy DT. Decision intelligence: determining pest natal origin. Final report for contract PBCRC2111 Plant Biosecurity Cooperative ResearchCentre 37. 2017. Available from: https://nla.gov.au/nla.obj-698245580/view."
