"","related_publication_id","related_publication_citation"
"1","","Armstrong KF, Holder PW, Murphy DT. Decision intelligence: determining pest natal origin. Final report for contract PBCRC2111 Plant Biosecurity Cooperative ResearchCentre 37. 2017. Available from: https://nla.gov.au/nla.obj-698245580/view."
"2","","Aviani, U. (2013) Applicazione della sistematica isotopica dello Sr alla tracciabilità e alla qualificazione di prodotti vitivinicoli: studio sul Prosecco veneto. PhD thesis, University of Trieste."
"3","","Beehr, Dana E. Investigation of Middle Woodland Population Movement in the Midwestern United States using Strontium Isotopes, University of Illinois at Urbana-Champaign, Ann Arbor, 2011."
"4","","Britton, K. 2010. Multi-isotope analysis and the reconstruction of prey species palaeomigrations and palaeoecology. Doctoral thesis, Durham University."
"5","","Copeland, S. R., Sponheimer, M., Thorp, J. A. L., de Ruiter, D. J., Roux, P. J., Grimes, V., ... & Richards, M. P. (2010). Using strontium isotopes to study site accumulation processes. Journal of taphonomy, 8(2), 115-127."
"6","","Crowley et al. In prep. An isotopic investigation of changes in an extinct lemur's mobility and diet following weaning."
"7","","Curtis, John Briggs and Alan M. Stueber. ""Sr/Sr Ratios and Total Strontium Concentrations in Surface Waters of the Scioto River Drainage Basin, Ohio."" 1973. The Ohio Journal of Science. v73, n3 (May, 1973), 166-175"
"8","","Durán V, et al. 2018. Barrio Ramos I. Prácticas funerarias en el inicio del período de dominación Inca del valle de Uspallata (Mendoza, Argentina). Relaciones de la Sociedad Argentina de Antropología? XLIII (1): xx-xx."
"9","","Eastin, R. and Faure, G., 1970. Seasonal variation of the solute content and the Sr87/Sr86 ratio of the Olentangy and Scioto Rivers at Columbus, Ohio."
"10","","Feulner F, et al. 2012. Combined isotope analysis indicate restricted mobility of cattle at the Neolithic causewayed enclosure of Champ-Durand, Vendee (France). L'enceinte néolithique de Champ-Durand à Nieul-sur-l'Autise (Vendée). CNRS Editions."
"11","","Fisher, Miller, Slater and Crowley unpublished."
"12","","Fornander, E., et al., 2015. Identifying mobility in populations with mixed marine/terrestrial diets: Strontium isotope analysis of skeletal material from a passage grave in Resmo, Öland, Sweden., in: The Mobility of Culture in Bronze Age Europe, 183–192."
"13","","Fornander, Elin, Kerstin Lidén, Gunilla Eriksson, and Per Andersson. ""Identifying mobility in populations with mixed marine/terrestrial diets: Strontium isotope analysis of skeletal material from a passage grave in Resmo, Öland, Sweden."" (2015): 183-192."
"14","","Frabel and Crowley Unpublished data"
"15","","Freiwald 2011. Reconstructing Maya migration networks: Reconstructing population movement in the Belize River Valley during the late and terminal classic. PhD dissertation, University of Wisconsin, Madison"
"16","","G Xin, GN Hanson, 1994, Strontium isotope study of the Peconic River watershed, Long Island, New York, Manuscript based on the MS Thesis by Gen Xin, Stony Brook University, call number x GB565.N72 P42 1993."
"17","","Geng Xin ""Strontium Isotope Study of the Peconic River Watershed, Long Island, New York, Stony Brook University, 1993."
"18","","Hieronymus B., et al. (1995). Chimie du fleuve Tocantins et de rivières côtières de l'est du Para (Brésil). In : Boulègue J. Olivry J-C (eds.). Grands bassins fluviaux périatlantiques : Congo, Niger, Amazone. Paris : ORSTOM, 357-374."
"19","","Holder PW. Isotopes and trace elements as geographic origin markers for biosecurity pests. Doctoral Thesis, Lincoln University.2012. Available from: https://researcharchive.lincoln.ac.nz/bitstream/ handle/10182/5249/Holder_phd.pdf?sequence=3&isAllowed=y."
"20","","Hoppe 1999-Unpublished raw data"
"21","","Jorgenson,G., Eerkens, J., Barfod, G., Bartelink, E. 2009 Migration patterns in the prehistoric California Delta: analysis of strontium isotopes. SCA Proceedings, Volume 23"
